"ObservationDate","Country_Region","Province_State","Confirmed","Deaths","Recovered","Active"
2020-02-26,"Georgia",NA,1,0,0,1
2020-02-27,"Georgia",NA,1,0,0,1
2020-02-27,"Georgia",NA,1,0,0,1
2020-02-27,"Georgia",NA,1,0,0,1
2020-02-28,"Azerbaijan",NA,1,0,0,1
2020-03-01,"Azerbaijan",NA,3,0,0,3
2020-03-01,"Georgia",NA,3,0,0,3
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Azerbaijan",NA,3,0,0,3
2020-03-01,"Georgia",NA,3,0,0,3
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Azerbaijan",NA,3,0,0,3
2020-03-01,"Georgia",NA,3,0,0,3
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Azerbaijan",NA,3,0,0,3
2020-03-01,"Georgia",NA,3,0,0,3
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-01,"Armenia",NA,1,0,0,1
2020-03-05,"Azerbaijan",NA,6,0,0,6
2020-03-05,"Georgia",NA,4,0,0,4
2020-03-05,"Azerbaijan",NA,6,0,0,6
2020-03-05,"Georgia",NA,4,0,0,4
2020-03-05,"Georgia",NA,4,0,0,4
2020-03-07,"Azerbaijan",NA,9,0,0,9
2020-03-07,"Azerbaijan",NA,9,0,0,9
2020-03-07,"Azerbaijan",NA,9,0,0,9
2020-03-08,"Georgia",NA,13,0,0,13
2020-03-09,"Georgia",NA,15,0,0,15
2020-03-09,"Cyprus",NA,2,0,0,2
2020-03-09,"Georgia",NA,15,0,0,15
2020-03-10,"Azerbaijan",NA,11,0,0,11
2020-03-10,"Cyprus",NA,3,0,0,3
